word	TextCount	TextLength
abbhaññasi?	2	11
abbhaññ?sim	6	11
abbhaññ?si?	86	11
abbh?ññ?si?	2	11
abbhaññ?sin	1	11
abbhaññ?su?	2	11
abbhaññi?su	8	11
Abbhantar?	1	10
abbhantar?	9	10
abbhant?r?	1	10
abbhantaradh?tusa?kopavasena	2	28
abbhantaragata?	1	15
Abbhantaragato	1	14
Abbhantarahato	1	14
abbhantarako	1	12
Abbhantaram	1	11
abbhantaram	1	11
Abbhantara?	1	11
abbhantara?	10	11
abbhantaramhi	3	13
abbhantaran	4	11
Abbhantar?na?	4	13
abbhantar?na?	26	13
abbhantar?ni	7	12
abbhantarante	1	13
abbhantaraparibhogo	1	19
abbhantar?passaya?	1	18
abbhantarassa	1	13
abbhantarato	1	12
abbhantare	35	10
abbhantarehi	2	12
abbhantarena	2	12
abbhantari	1	10
abbhantarik?	3	12
abbhantarik?saññ?	1	17
abbhantarike	1	12
abbhantariko	4	12
abbhantarim?	1	12
abbhantarima?	1	13
abbhantarimapassa?	1	18
abbhantarimehi	1	14
abbhantarimena	1	14
abbhantaro	7	10
abbhantassa	1	11
abbhantat?	1	10
abbhanto	1	8
abbhanu	1	7
abbhanuj?n?ti	4	13
abbhanumodasi	1	13
abbhanumodati	5	13
abbhanumodi	2	11
abbh?numodi	2	11
abbhanumodit?	2	13
abbhanumod?ti	1	13
abbhanumodiyati	1	15
abbh?ra?	1	8
abbhasamam	2	10
abbhasa?gh?t?	1	13
abbhasa?vil?po	3	14
abbhasanti	1	10
abbhassatt	1	10
abbhatiko	2	9
abbhatireka?	1	12
abbh?tireka?	1	12
Abbhat?t?	1	9
abbhat?t?	25	9
Abbh?t?t?	1	9
abbhat?t?h?ro	1	13
abbhat?tam	2	10
abbhat?ta?	8	10
abbhat?tasah?yassa	1	18
abbhat?te	11	9
abbhat?tehi	2	11
abbhat?to	2	9
abbhato	1	7
abbhatta?	1	9
abbhatthagat?	1	13
abbhatthagata?	1	14
abbhatthakatanti	1	16
abbhattham	1	10
abbhattha?	54	10
abbhattha?gat?	1	14
abbhattha?gamet?ti	1	18
abbhattha?gat?	18	14
abbha??ha?gat?	1	14
abbhattha?gata?	8	15
abbhattha?gatan	17	15
abbha??h?yi	1	11
Abbhaval?hak?	1	13
abbhaval?hak?	1	13
Abbhaval?hak?nam	1	16
abbhent?	6	8
abbhetabb?	1	10
abbhetabbo	6	10
abbheti	25	7
abbhetu	4	7
abbheyya	12	8
abbheyy?	4	8
abbhid?	4	7
abbhih?si	1	9
abbhih?siti	1	11
abbhikkhi	1	9
abbhiññ?ya	1	10
abbhito	4	7
abbho	7	5
abbhocchanna?	1	13
abbhocchinna?	2	13
abbhocchinnanirantaraviriyena	1	29
abbhocchinnaviriya?	1	19
abbhocchinnaviriyasa?kh?t?	1	26
Abbhok?sagata?	1	14
abbhok?sagata?	1	14
abbhok?sagatassa	1	16
Abbhok?sagato	1	13
abbhok?sagato	3	13
abbhok?saka?	1	12
abbhok?sa?	33	10
abbhok?samhi	3	12
abbhok?sav?so	1	13
abbhokase	1	9
abbhok?se	45	9
abbhok?s?	1	9
abbhok?sik?	7	11
abbhok?sikamattena	1	18
abbhok?sikassa	2	14
abbhok?siko	7	11
Abbhok?so	1	9
abbhok?so	16	9
abbhoki???	1	10
abbhoki??a?	3	11
abbhokiri?	1	10
abbhokirissa?	1	13
Abbhu	1	5
abbh?	1	5
abbhud?h?s?ti	2	13
abbhuddaya?	1	11
abbhuddhanant?	1	14
abbhuddhunant?	1	14
abbhudeti	4	9
abbhud?rayi	1	11
abbhud?resu?	1	12
abbhue	1	6
abbhug	1	6
abbhugaccham?n?ya	1	17
abbhugacchati	1	13
abbhugacchatu	1	13
abbhugacchi	1	11
abbhuggaccha	1	12
abbhuggaccham?n?ya	1	18
abbhuggacchati	36	14
abbhuggacchat?	1	14
abbhuggacchat?ti	1	16
abbhuggaccheyya	2	15
abbhuggacchi	3	12
abbhuggacchi?su	1	15
abbhuggacchissati	2	17
abbhuggachati	1	13
abbhuggahetv?	2	13
abbhuggam?n?	1	12
abbhuggamana?	1	13
abbhuggami	2	10
abbhuggam?	8	10
abbhugga?tv?	1	12
abbhuggañchi	7	12
abbhuggañch?ti	2	14
abbhuggañchu?	1	13
abbhuggañji	2	11
abbhuggantv?	30	12
Abbhuggantv?na	1	14
abbhuggantv?na	1	14
abbhuggat?	2	10
abbhuggata?	2	11
abbhuggatamanorama?	1	19
abbhuggat?n?ti	1	14
abbhuggato	60	10
abbhuhi	1	7
