word	TextCount	TextLength
Bh?mipappa?ake	1	14
bh?mipappa?ako	1	14
bh?miparikamma?	1	15
bh?mipati	3	9
bh?mipat?ti	1	11
bh?miPDhp	1	9
bh?mippadesa?	3	13
bh?mippadesassa	1	15
bh?mippadese	4	12
bh?mippadeso	3	12
bh?mipucch?	2	11
bh?mir?ma?eyyaka?	11	17
bh?mir?ma?eyyakan	2	17
bh?misa??hati	1	13
bh?misa??hito	1	13
bh?misay?	2	9
bh?misayan?	1	11
bh?mis?sa?	1	10
bh?mis?se	1	9
bh?misu	2	7
bh?m?su	49	7
bhumisusayan?vaj?t?	1	19
bh?mitalagat?	2	13
bh?mitala?	1	10
bh?mito	4	7
bh?mivaddhano	1	13
bh?miy	1	6
bhumiy?	1	7
bh?miy?	127	7
bhumiyam	1	8
Bhumiya?	1	8
bhumiya?	2	8
bh?miya?	140	8
bhumiya?sa??hito	1	16
bh?miya??hito	1	13
bh?miyañ	2	8
Bh?miyo	1	7
bh?miyo	28	7
bh?miyya?	1	9
bhu?kara?asunakhassa	1	20
bhumm	3	5
bhumma	3	6
Bhumm?	4	6
bhumm?	12	6
Bhummadevat?	1	12
bhummadevat?sevite	1	18
bhummadeve	2	10
bhumma?	2	7
Bhumm?na?	5	9
bhumm?na?	2	9
bhumm?ni	9	8
bhummantalikkhe	1	15
bhumma??h?	3	10
bhumma??hak?pi	1	14
bhumma??ha?	10	11
bhummatthara	1	12
Bhummatthara?a?	1	15
bhummatthara?a?	21	15
bhummatthara??ni	1	16
bhumma??h?sambhav?	1	18
bhummatthe	2	10
bhumma??he	1	10
bhumma??ho	1	10
bhummavacana?	2	13
bhummi	7	6
bhumm?su	222	8
bhummivilepana?	1	15
bhummiy?	1	8
bhummiya?	2	9
bhummiy?pattiy?	31	15
bhummiy?pa??iy?	1	15
bhumya	1	6
bhumy?	12	6
bhuñ	5	4
bh?na	1	5
Bh?nahacc?ni	1	12
bh?nahat?	8	9
bh?naha?a	1	9
bh?nahato	1	9
bh?naho?a	1	9
bh?nahu	8	7
bh?nahuno	6	9
bh?n?mapi	1	9
bhunanto	1	8
bh??anto	1	8
bhuñca	3	6
bhuñc?hi	2	8
bhuñcamicch?siti	1	16
bhuñcassa	1	9
bhuñcati	1	8
bhuñcat?ti	1	10
bhuñcatv?	1	9
bhuñci	2	6
bhuñj	5	5
Bhuñja	4	6
bhuñja	55	6
bhuñj?	8	6
bhuñjaha	1	8
bhuñj?hi	8	8
bhuñj?h?	1	8
bhuñj?h?ti	7	10
bhuñjak?	1	8
bhuñjam	1	7
Bhuñja?	1	7
bhuñja?	2	7
bhuñj?ma	17	8
bhuñj?m?	1	8
bhuñjam?n?	33	10
bhuñjam?nam	1	11
bhuñjam?na?	4	11
bhuñjam?n?na?	19	13
bhuñjam?ne	2	10
bhuñjam?nehi	1	12
bhuñjam?nena	3	12
bhuñjam?no	26	10
bhuñj?mi	39	8
bhuñj?m?	2	8
bhuñj?m?ti	13	10
bhuñjana	1	8
bhuñjanabhatta?	1	15
bhuñjanabh?vo	1	13
bhuñjanahattham	1	15
bhuñjanakabhatta?	1	17
bhuñjanakabr?hma?o	1	18
bhuñjanak?lo	1	12
bhuñjana?	1	9
bhuñjananiy?mena	1	16
bhuñjanapaccay?	9	15
bhuñjana??h?ne	3	14
bhuñjanatth?ya	1	14
bhuñjanavel?ya	1	14
bhuñjañca	1	9
bhuñjane	2	8
bhuñjaneva	1	10
bhuñjant	3	8
bhuñjant?	4	9
Bhuñjanta?	1	10
bhuñjanta?	5	10
bhuñjant?nam	1	12
bhuñjant?na?	3	12
bhuñjantassa	29	12
bhuñjantass?	1	12
bhuñjante	2	9
bhuñjantena	1	11
bhuñjantesu	1	11
Bhuñjanti	1	9
bhuñjanti	69	9
bhuñjant?	4	9
bhuñjant?ti	18	11
bhuñjantiy?	9	11
bhuñjanto	51	9
Bhuñjantu	1	9
bhuñjantu	4	9
bhuñjare	1	8
bhuñjase	2	8
bhuñjasi	13	8
bhuñjas?ti	25	10
bhuñj?s?ti	1	10
bhuñjassa	2	9
bhuñjass?ni	1	11
bhuñjass?ti	1	11
bhuñjassu	15	9
bhuñjass?	7	9
bhuñjat	2	7
bhuñjatañ	1	9
bhuñjate	1	8
bhuñjatha	19	9
bhuñjath?	15	9
bhuñjath?ti	6	11
Bhuñjati	1	8
bhuñjati	167	8
Bhuñjat?	2	8
bhuñjat?	3	8
bhuñj?ti	1	8
Bhuñjati?	1	9
bhuñjat?ti	12	10
bhuñjato	8	8
Bhuñjatu	4	8
bhuñjatu	9	8
bhuñjat?	3	8
bhuñjayantu	1	11
bhuñjayissati	1	13
bhuñje	15	6
bhuñjetha	3	9
bhuñjetheva	1	11
bhuñjeyya	55	9
bhuñjeyy?	2	9
bhuñjeyya?	5	10
bhuñjeyy?ma	1	11
bhuñjeyyanti	2	12
bhuñjeyy?si	5	11
bhuñjeyy?s?ti	2	13
bhu?jeyy?ti	1	11
bhuñjeyyu?	4	10
bhuñjeyyun	2	10
bhuñji	38	6
bhuñji?	5	7
bhuñjimh?	2	9
bhuñji?su	40	9
bhuñjissa?	2	10
bhuñjiss?ma	14	11
bhuñjiss?m?	2	11
bhuñjiss?m?ti	4	13
bhuñjiss?mi	9	11
bhuñjiss?m?	1	11
bhuñjiss?m?ti	71	13
bhuñjiss?ni	1	11
bhuñjissanti	21	12
bhuñjissant?ti	13	14
bhuñjissasi	3	11
bhuñjissatha	7	12
bhuñjissath?	2	12
bhuñjissati	2	11
bhuñjissat?ti	5	13
bhuñjissehi	4	11
bhuñjit?	1	8
bhuñjitabba?	38	12
bhuñjitabbo	14	11
bhuñjitatt?	1	11
bhuñjiti	2	8
bhuñj?ti	4	8
bhuñjittha	3	10
bhuñjitu	1	8
bhuñjituk?mat?	1	14
bhuñjituk?mo	6	12
bhuñjitum	2	9
bhuñjitu?	45	9
bhuñjitun	9	9
bhuñjitva	1	9
bhuñjitv?	178	9
bhuñjitv?na	1	11
bhuñjiyam?nam	1	13
bhunnassa	2	9
bhuno	1	5
bh?no	1	5
bh?pamo	1	7
bh?pati	1	7
Bh?ri	8	5
bh?ri	19	5
bh?r?	20	5
Bh?ridatta	3	10
Bh?ridattabhariy?yo	1	19
Bh?ridattacariya?	2	17
Bh?ridattaj?taka	31	16
Bh?ridattaj?taka?	1	17
Bh?ridattaj?take	1	16
Bh?ridattam	1	11
Bh?ridatta?	9	11
Bh?ridattam?t?	1	14
Bh?ridattan	1	11
Bh?ridattan?gar?jak?le	1	22
Bh?ridattan?gar?jena	1	20
Bh?ridattanivesana?	1	19
Bh?ridattanivesane	2	18
Bh?ridattassa	4	13
Bh?ridatte	2	10
Bh?ridattena	3	12
Bh?ridatto	11	10
bh?rimedhas?	3	12
bh?rimedhaso	7	12
Bh?ripañh?jataka	1	16
Bh?ripañhaj?taka?	2	17
Bh?ripañhe	1	10
Bh?ripañho	2	10
bh?ripañña	12	10
Bh?ripaññ?	1	10
bh?ripaññ?	21	10
bh?ripañña?	5	11
bh?ripaññ???	3	12
bh?ripaññ??o	2	12
bh?ripaññassa	1	13
Bh?ripaññat?ya	2	14
bh?ripaññat?ya	1	14
Bh?ripaññatt?ya	1	15
bh?ripaññena	2	12
Bh?ripañño	1	10
bh?ripañño	20	10
bh?risa?khayo	1	13
bh?risumedhaso	2	14
bhusa	10	5
Bhus?	1	5
bhus?	32	5
bh?sa	3	5
Bh?s?	1	5
bh?s?	10	5
bhusadassaneyy?	2	15
bhusadassaneyya?	1	16
bhusadassaneyyan	1	16
bhusadassaneyyo	1	15
Bhus?g?ra	1	9
Bhus?g?r?	1	9
bhus?g?ra?	1	10
Bhus?g?rassa	1	12
Bhus?g?re	1	9
Bh?s?g?re	1	9
bhus?lay?	2	9
bhusam	1	6
bhusa?	47	6
bh?sa?	6	6
bhusa?hot?ti	1	12
bhusamu??hi	2	11
bh?samu??h?	1	11
bh?samu??h?ti	1	13
bhusan	3	6
bhusañ	1	6
bh?san?rato	1	11
Bhus?ni	1	7
bhusanti	1	8
bhusapal?pabh?va?	1	17
bhusapal?pa?	1	12
Bhusapetavatthu	2	15
bh?s?petv?	1	10
bhusappamatt?	2	13
bhusassa	2	8
bhusav?tehi	2	11
bhuse	1	5
bh?se	1	5
bhusehi	3	7
bhuseh?ti	1	9
bhusena	4	7
bhusi	2	5
bhusik?	2	7
bhusika?	2	8
bhusita	1	7
bh?sit?	6	7
bhusitasaddo	1	12
bh?s?ti	1	7
bhuso	3	5
bhussa?v?s??ake	1	15
bhussut?	1	8
bhut	1	4
bh?t	1	4
bhut?	4	5
Bh?ta	13	5
bh?ta	24	5
bh?t?	121	5
bh?tabhaby?na?	1	14
bh?tabhavy?na?	6	14
bh?tabhavy?nan	1	14
bh?tabhavy?ni	3	13
bh?tabhavy?n?ti	1	15
bh?t?bhinandino	1	15
bh?t?bh?tassa	1	13
bh?tadhara?	2	11
bh?t?dhip?t?	1	12
bh?t?dhipat?ti	1	14
bh?t?dhi??h?ya	1	14
bh?tag?ma	4	9
bh?tag?m?	3	9
bh?tag?ma?	1	10
bh?tag?map?tabyat?ya	2	20
bh?tag?masam?rambh?	2	19
bh?tag?mavaggo	3	14
bh?tag?mo	1	9
Bh?taga?o	2	9
bh?tagarahak?	1	13
bh?tagg?hena	1	12
bh?tagu??	1	9
bh?tahit?nukamp?	1	16
bh?tajigucchak?	1	15
bh?tak?lo	4	9
bhutam	1	6
bhuta?	4	6
Bh?tam	12	6
bh?tam	20	6
Bh?ta?	1	6
bh?ta?	259	6
bh??a?	1	6
bh?taman?	1	9
bhutamantalikkhamhi	1	19
Bh?tamida?	1	10
bh?tam?la?	1	10
bh?tan	5	6
bh?t?n	1	6
bh?t?nam	2	8
bh?t?na?	35	8
bh?t?nañ	2	8
bh?tañ???na?	1	12
Bh?t?ni	2	7
bh?t?ni	33	7
bh?t?n?ti	3	9
bh?taniv?sar?po	2	15
bh?t?nukamp?	4	12
bh?t?nukampino	2	14
bh?tap	1	6
bhutapacana?	1	12
bhutapacanani	1	13
bhutapacani	1	11
bh?tapacani?	3	12
bhutapacini?	2	12
Bh?tap?lassa	1	12
bh?tapariñño	1	12
bh?tapasa?sak?	1	14
bh?tapat	2	8
bh?tapataddas?m?	1	16
bh?tapati	4	9
bh?tapat?	4	9
bh?tapati?	4	10
bh?tapat?ti	1	11
bh?tapat?va	3	11
bh?t?pi	1	7
Bh?tapit?ddasa	1	14
bh?tapubb?	2	10
Bh?tapubb?ham	2	13
Bh?tapubb?ha?	7	13
Bh?tapubbam	23	11
bh?tapubbam	3	11
Bh?tapubba?	75	11
bh?tapubba?	17	11
bh?tapubban	1	11
bh?tapubbas?mike	1	16
bh?tapubbo	6	10
bh?tarat?	1	9
bh?t?rocanak?	1	13
bh?t?rocanasamu??h?na?	1	22
bh?tasaññ?ya	1	12
bh?tasaññino	1	12
bh?tasm?	1	8
bh?tasmi?	1	9
bh?tass	1	7
bhutassa	1	8
Bh?tassa	1	8
bh?tassa	27	8
bh?tass?pi	1	10
bh?tato	10	7
bh?tatt?	1	8
bh?tatt?ya	1	10
bh?tattena	1	10
bh?tatth?	1	9
bh?ta??ito	1	10
bh?tav?d?	24	9
bh?tavejj?	1	10
bh?tavejjako	1	12
bh?tavejja?	1	11
bh?tavejjo	2	10
bh?taviharitaccarito	1	20
bh?tavijj?su	1	12
bh?tayakkhadevat?su	1	19
bh?tayakkh?d?hi	1	15
Bh?te	1	5
bh?te	37	5
bh?tehi	1	7
bh?tena	37	7
bh?ten?yasm?	1	12
bhutesu	1	7
bh?tesu	24	7
bh?tes?	1	7
bh?ti	2	5
bh?tika?	1	8
bh?tiko	3	7
bh?tima	1	7
bh?tiy?	1	7
bh?tiya?	2	8
bhuto	2	5
Bh?to	2	5
bh?to	69	5
bhutt	1	5
bhutta	2	6
Bhutt?	9	6
bhutt?	5	6
bhuttabbo	2	9
bhuttabhatte	1	12
bhuttabh?va?	1	12
bhuttabhojan?	1	13
bhuttabhojano	4	13
bhutt?dhikena	1	13
bhuttagehe	1	10
bhuttak	1	7
bhuttak?le	2	10
bhuttakh?dit?vases?ni	1	21
bhuttam	1	7
bhutta?	32	7
bhuttamanta	1	11
bhuttamatte	1	11
bhuttan	4	7
Bhuttañ	1	7
bhuttañ	7	7
bhutt?ni	1	8
bhuttaninti	1	11
bhuttap?tar?s?	1	14
bhuttap?tar?sa?	2	15
bhuttap?tar?sassa	2	17
bhuttap?tar?so	25	14
bhutt?pav?ra??	1	14
bhuttapubb?	1	11
bhuttas?yam?s?	1	14
bhuttas?yam?so	1	14
bhuttasmi?	1	10
Bhuttassa	1	9
bhuttassa	6	9
bhutt?tireka?	1	13
bhutt?tiritta?	1	14
bhuttavanta?	1	12
bhuttavantan	1	12
Bhutt?vas?ne	1	12
bhutt?vaseso	6	12
bhutt?vasi??hassa	1	17
Bhutt?v?	1	8
bhutt?v?	30	8
Bhutt?vik?lam	2	13
bhuttavi?	1	9
bhutt?vim	1	9
bhutt?vi?	51	9
bhutt?vi?k?lam	1	14
bhutt?vin?	10	10
bhutt?vino	5	10
bhutt?vissa	9	11
bhutte	5	6
bhu??h?	1	7
bhutto	10	6
bhuttok?so	4	10
bhuttu?	1	7
Bhutv?	2	6
bhutv?	54	6
Bhutv?na	1	8
bhutv?na	15	8
bh?ya	1	5
bh?ye	1	5
bhuyha?	1	7
bh?yha?	1	7
bhuyya	2	6
bh?yya	1	6
BI	1	2
Bi	7827	2
bi	2	2
b?	1	2
Bia	1	3
bibbohanam	1	10
bibbohana?	2	10
bibbohanañ	1	10
bibbohanass	1	11
bibbohane	1	9
bibboha?e	1	9
b?bhacchen?	1	11
bibhemi	1	7
Bibl	1	4
Bid	3537	3
bidalamañcakan	1	14
bidalamañcakapasse	1	18
bidalas?piyo	2	12
Bidp	19	4
Bigandet	1	8
bihanti	1	7
bija	1	4
B?JA	2	4
B?ja	1	4
b?ja	3	4
B?j?	2	4
b?j?	2	4
b?jabhatta?	2	11
b?jabh?t?	1	9
b?jab?jam	3	9
B?jab?ja?	1	9
b?jab?ja?	4	9
b?jab?jañ	2	9
b?jab?jaññeva	1	13
b?jab?jass	1	10
b?jaca	1	6
B?jag?ma	2	8
b?jag?ma	4	8
b?jag?m?	2	8
b?jag?mabh?tag?ma	1	17
b?jag?mabh?tag?m?	6	17
b?jag?mabh?tag?masam?rambh?	8	27
b?jag?mabh?tag?masam?ramoh?	1	27
b?jaj?t?ni	3	10
B?jaka	3	6
B?jak?	1	6
B?jakad?so	1	10
b?jaka?	2	7
B?jakam?t?	1	10
B?jakapit?	1	10
B?jakassa	1	9
B?jakass?	1	9
B?jakavatthum	1	13
B?jakena	1	8
B?jako	10	6
B?jam	5	5
b?jam	3	5
B?ja?	7	5
b?ja?	73	5
b?jañ	1	5
b?jan?go	1	8
b?j?nam	2	7
b?j?na?	2	7
B?jañca	9	7
bijane	1	6
b?jane	1	6
b?jañhi	1	7
bij?ni	2	6
B?jan?	1	6
b?jan?	1	6
b?j?ni	37	6
b?janid?nena	1	12
b?jan?d?nena	1	12
b?jan?k?	1	8
b?janim	1	7
b?jani?	2	7
B?jan?n?man?mak?	1	16
b?janiy?	1	8
b?jan?y?	1	8
b?j?nucchavikam	1	15
b?j?nur?pa?	2	11
b?jasampad?	4	11
b?jasampada?	1	12
b?jasaññ?	2	9
b?jatthañ	1	9
b?jatth?ya	1	10
b?jatth?y?	1	10
b?javaga	1	8
bijayam?no	1	10
b?je	8	4
b?jesu	1	6
b?jeyy?ti	2	9
b?jiyo	1	6
b?j?pama?	1	9
b?j?pamena	2	10
bijupp?da	1	9
b?jupp??anañ	1	12
bikkhave	1	8
bikkhu	1	6
biko	1	4
bil	1	3
bila	3	4
bil?	8	4
bi??	2	4
b?la	1	4
bi??bhast?	1	10
bil?d?hi	1	8
biladv?re	1	9
bilakat?	4	8
Bil?la	1	6
bil?la	3	6
Bi??l?	1	6
Bil?laday?	1	10
Bil?lad?yi	1	10
bi??lakkhiva???ni	1	17
bi??la?	1	7
bi??lanikkamana	1	15
Bi??l?pi	1	8
bi??lass	1	8
bil?lay?y?	1	10
bi??le	2	6
bi??li	2	6
Bi??l?	1	6
Bil?lid?yaka	1	12
Bi??lid?yaka	2	12
Bi??lid?yakattherassa	2	21
Bi??lid?yako	2	12
Bi??lid?y?	1	10
Bi??lido	1	8
bi??like	2	8
bi??lim	1	7
bi??li?	2	7
bi??lito	1	8
bi??liy?	1	8
Bi??liyo	1	8
bi??liyo	2	8
bila?	12	5
bilamam?	1	8
b?lamañca	1	9
bila?gadutiyan	1	14
bilan	1	5
bila?ga	3	7
bila?g?	2	7
bi?a?gad?	1	9
bila?gadutiya?	6	14
bila?gadutiyan	3	14
bila?gad?tiyan	1	14
bila?gadutiyena	6	15
bila?gaka	1	9
bila?gak?	1	9
bila?galo?a?	1	12
bila?galo??mabh?tañ	1	19
bila?gath?likam	4	15
Bila?gika	1	9
bila?gika	2	9
Bila?gika?	1	10
bila?gika?	1	10
bila?gikassa	1	12
bil?ni	3	6
bila?ka	1	7
bilapass?ni	1	11
bilapa?icchann?as?visasadise	1	28
bil?r	1	5
bil?ra	1	6
bil?r?	2	6
bi??ra	3	6
bi??r?	7	6
bi??rabhast?	1	12
bi??rabhasta?	3	13
bi??rabhast?samena	1	18
Bil?raj?taka	1	12
Bi??raj?taka	1	12
Bi??raj?taka?	1	13
bil?ra?	1	7
bi??ra?	3	7
bi??ranissakkanamattam	1	22
bi??ranissakkanamatta?	1	22
b???rasasta?	1	12
b?l?rasi?g?l?dayo	1	17
bi??rassa	1	9
bi??ravataj?	1	12
bi??re	1	6
bi??r?	4	6
bi??rik?pi	1	10
Bi??rikosika?	1	13
Bi??rikosiyaj?taka	5	18
Bi??rikosiyaj?taka?	1	19
Bi??rikosiyase??hi	1	18
Bi?arikosiyo	1	12
bi??ri?	1	7
bi??rito	1	8
bi??rivall?kand?	1	16
bi??riy?	1	8
bilaro	1	6
Bil?ro	1	6
Bi??ro	2	6
bi??ro	10	6
b??aro	1	6
Bilasata?	2	9
bilasatan	1	9
Bil?say?	2	8
bil?say?	5	8
bil?sayo	1	8
bilaso	3	6
bi?aso	1	6
bil?ya	1	6
bile	9	4
bi?ibi?ik?	2	10
bi?ibiliti	1	10
bi?ik?	1	6
bili?ga	1	7
Billa	1	5
billa	1	5
bill?	1	5
billa?	1	6
Billamattiyo	1	12
billamattiyo	3	12
billapakkam	1	11
Billaphaliya	1	12
Billaphaliyattherassa	1	21
Billaphaliyo	1	12
billimattiyo	2	12
Billuphaliyo	1	12
Bim	72	3
bi?	2	3
bimba	2	5
bimbaj?lo	1	9
bimbam	1	6
bimba?	8	6
bimbassa	1	8
Bimbi	2	5
Bimb?	1	5
bimbij?l?	2	9
bimbij?lakasañchann?	1	20
bimbij?lakasañchanna?	1	21
bimbij?lakasañchannan	1	21
bimbij?lik?	1	11
Bimbij?likapupph?ni	1	19
Bimbij?liya	1	11
Bimbij?liyattherassa	1	20
Bimbij?liyo	1	11
bimbij?lo	2	9
Bimbis?ra?	18	10
Bimbis?rañño	1	12
Bimbis?rapamukh?na?	1	19
Bimbis?raraññ?	1	14
Bimbis?rarañño	3	14
Bimbis?rassa	41	12
Bimbis?rena	10	11
Bimbis?ren?	1	11
Bimbis?ren?ti	1	13
Bimbis?ro	95	9
bimbohanam	1	10
bimbohana?	20	10
bimbohan?ni	2	11
bimbohanasam?yuta?	1	18
Bimbohane	1	9
bimbohane	3	9
bimbo??hasampanno	1	17
Bimpi	1	5
bi?s?	1	5
bindhu	1	6
bindhuka?	1	9
bindu	5	5
bind?	1	5
binduhi	1	7
bindumatte	1	10
Bindus?rarañño	1	14
bindussar?	1	10
bindussarena	2	12
Bindussaro	1	10
bindussaro	3	10
bindutthan?	1	11
bindutthan?ti	1	13
Bip	3	3
b?r?d?ni	1	8
b?ra?a	5	6
B?ra??	1	6
b?ra?a?	4	7
b?ra?atthambhaka?	1	17
b?ra?atthambhakasmi?	1	20
b?ra?atthambhakasmin	1	20
BIRA?ATTHAMBHAKAVAGGA	1	21
B?ra?atthambhakavagga	16	21
B?ra?atthambhakavaggo	1	21
b?ra?atthambhake	1	16
B?ra?e	1	6
B?ra??	1	6
B?ra?iy?	1	8
biribala?	1	9
BIRTH	4	5
birth	1	5
BIRTHS	2	6
births	6	6
bis	29	3
bisivake	1	8
bit	1	3
biya?	1	5
biyavelo	1	8
BJ	1	2
BJBvA	1	5
Bk	5	2
Bks	2	3
bkumy?yeva	1	10
BL	27	2
BLAEMLESS	1	9
BLAME	1	5
BLAMEWORTHY	1	11
Blank	13	5
blank	7	5
blessings	1	9
BLISS	1	5
blotted	1	7
BLP	18	3
BLPS	44	4
BLS	15	3
BLUE	1	4
blunder	17	7
Bm	1704	2
Bma	2	3
Bmp	1	3
BN	193	2
B?	1	2
BNBvA	36	5
BNJBvA	2	6
BNR	14	3
BNRBvA	1	6
BNRJBvA	2	7
BNRS	2	4
BNRSBvA	1	7
BNRT	23	4
BNRTBvA	7	7
BNS	2	3
BNSBvA	4	6
BNST	1	4
BNSTBvA	1	7
BNT	76	3
BNTBvA	46	6
BNTJ	1	4
BNTJBvA	2	7
Bo	96	2
bo	4	2
Boassa	1	6
BOAST	1	5
Bocch	1	5
bock	1	4
boddha?	1	7
Boddhisattassa	1	14
boddhum	1	7
bodh?	1	5
bodhab	1	6
bodhabba?	9	9
bodhag?m?	14	9
bodh?g?m?	1	9
bodha?	1	6
Bodhan?	2	7
bodhana??ha?	1	12
bodhana??hena	1	13
bodhana??ho	1	11
bodhañcane	1	10
bodhaneyy?	1	10
bodhaneyyabandhave	4	18
Bodhaneyya?	3	11
bodhaneyye	1	10
bodhan?ye	1	9
bodhant?ti	1	10
bodhapakkhik?	10	13
bodhapakkhik?na?	3	16
bodhapakkhike	1	13
bodhapakkhiko	4	13
bodhapakkhiy?	4	13
bodhapakkhiyadhamme	1	19
bodhapakkhiye	1	13
bodhapakkhiyo	5	13
bodhati	1	7
bodhaya	1	7
Bodh?ya	5	7
bodh?ya	32	7
bodh?y?	8	7
bodhaya?	1	8
bodhayanta?	1	11
bodhayanto	1	10
bodh?y?ti	5	9
bodhayi	1	7
bodhay?	2	7
bodhayitu?	1	10
bodhayitv?	3	10
bodhenti	1	8
Bodhent?ti	1	10
bodhent?ti	1	10
bodhento	2	8
bodhesi	7	7
bodhess?mi	1	10
bodhess?m?ti	1	12
Bodhet?	1	7
bodhet?	1	7
bodheti	6	7
bodhetuk?mo	1	11
bodhetum	1	8
bodhetu?	1	8
bodhetv?	5	8
BODHI	4	5
Bodhi	46	5
bodhi	76	5
Bodh?	3	5
bodh?	1	5
bodhigharam	2	11
Bodhighariko	1	12
Bodhighariya	2	12
Bodhighariyattherassa	1	21
Bodhighariyo	1	12
bodhija?	2	8
bodhikandha?	1	12
bodhikara??ya?	12	14
bodhikath?	1	10
bodhikha??a?	1	12
bodhikhandha?	1	13
bodhikhandhe	1	12
Bodhikum?ro	2	11
bodhim	33	6
Bodhi?	5	6
bodhi?	57	6
bodhimagge	1	10
bodhimaggena	1	12
bodhimaha?	2	10
bodhima???bhimukh?	1	18
Bodhima??am	1	11
bodhima??am	1	11
Bodhima??a?	4	11
bodhima??a?	7	11
bodhima??amatthakena	1	20
bodhima??amhi	2	13
bodhima??asamant?	1	17
Bodhima??assa	1	13
bodhima??e	8	10
bodhimhi	1	8
bodhim?lam	1	10
bodhim?la?	3	10
bodhim?lamhi	1	12
bodhim?le	2	9
bodhin	1	6
bodhiñ	2	6
bodhiñ??a?	1	10
bodhiñ???tth?ya	1	15
bodhiñ??ena	2	11
bodhino	1	7
bodhip?can?	20	11
bodhip?cana?	1	12
bodhipakka?	1	11
Bodhipakkhik?	1	13
bodhipakkhik?	4	13
bodhipakkhika?	1	14
Bodhipakkhik?na?	1	16
bodhipakkhik?na?	8	16
bodhipakkhike	1	13
bodhipakkhiy?	2	13
bodhipakkhiy?na?	2	16
bodhipakkhiya??ha?	1	18
Bodhipakkhiya??hena	1	19
bodhipakkhiya??ho	1	17
BODHIPAKKHIYAVAGGO	1	18
Bodhipakkhiyavaggo	1	18
bodhipakkhiyo	2	13
bodhipalla?ka?	1	14
bodhipalla?ka	1	13
Bodhipapa?ika?	1	14
Bodhiparibb?jakak?le	1	20
Bodhiparibb?jakassa	1	19
Bodhiparibb?jako	2	16
bodhiparip?can?	1	15
bodhipa?ika?	1	12
Bodhipa?il?bh?	2	14
bodhipa?il?bh?	2	14
bodhipatta?	1	11
bodhipatt?ni	1	12
bodhipatte	1	10
bodhipava?ika?	1	14
bodhip?jam	1	10
Bodhip?ja?	1	10
bodhip?ja?	2	10
bodhip?j?y	5	10
Bodhir?jakum?ra?	1	16
BODHIR?JAKUM?RASUTTA?	4	21
Bodhir?jakum?ro	3	15
bodhiropana??h?ne	1	17
bodhiropass	1	11
bodhiropay	1	10
bodhirukkh?bhimukho	1	19
bodhirukkham	1	12
bodhirukkha?	1	12
bodhirukkha?kurehi	1	18
bodhirukkham?l?	2	15
bodhirukkham?le	8	15
bodhirukkho	1	11
bodhisamajja	1	12
bodhis?mant?	1	12
bodhisambh?re	1	13
Bodhisam?pam	1	12
Bodhisammajjaka	1	15
Bodhisammajjakattherassa	1	24
Bodhisammajjako	2	15
bodhisam?pe	1	11
Bodhisaññaka	1	12
Bodhisaññakatherassa	1	20
Bodhisaññakothero	1	17
Bodhisañña?	1	11
bodhisaññ?y	1	11
bodhisassa?	1	11
Bodhisatassa	2	12
Bodhisato	1	9
Bodhisatta	16	10
Bodhisatt?	6	10
bodhisatt?	1	10
bodhisatt?bhimukha?	1	19
bodhisatt?bhimukho	1	18
Bodhisattacariyak?le	1	20
Bodhisattacariya?	1	17
Bodhisattak?le	1	14
Bodhisattam	2	11
Bodhisatta?	238	11
bodhisatta?	3	11
Bo?hisatta?	1	11
Bodhisattam?t?	15	14
Bodhisattam?t?pi	1	16
Bodhisattam?tara?	1	17
bodhisattam?taro	2	16
Bodhisattam?tu	6	14
Bodhisattam?tuy?	2	16
Bodhisattañ	6	11
Bodhisatt?na?	15	13
bodhisatt?na?	1	13
Bodhisatt?nubh?vena	2	19
bodhisattapamukh?	1	17
Bodhisatt?pi	1	12
Bodhisattapitara?	1	17
Bodhisattaputto	1	15
Bodhisattasa	2	12
Bodhisattasahass?na?	1	20
bodhisattasattikamanuss?	1	24
Bodhisattasmi?	1	14
Bodhisattass	7	12
bodhisattass	7	12
Bodhisattassa	341	13
bodhisattassa	60	13
Bodhisattass?pi	1	15
bodhisattasseva	23	15
Bodhisattato	1	12
Bodhisatte	21	10
bodhisatte	2	10
Bodhisattehi	1	12
Bodhisatten	3	11
Bodhisattena	35	12
bodhisattena	1	12
bodhisattesu	1	12
bodhisatthassattikamanussesupi	1	30
Bodhisattissa	1	13
Bodhisatto	1272	10
bodhisatto	29	10
Bodhis?tto	2	10
BodhisattoK?sira??he	1	20
Bodhisiñcako	1	12
bodhisiñc?y	1	11
Bodhissa	14	8
bodhissa	1	8
bodhitale	7	9
Bodhitassa	1	10
Bodhither?	1	10
bodh?ti	3	7
bodhito	2	7
Bodhitther?	1	11
Bodhitthi	1	9
Bodh?tth?	1	9
Bodhitthiri	1	11
Bodhitti	1	8
bodhity?	1	8
Bodhiupa??h?yaka	1	16
Bodhiupa??h?yakattherassa	1	25
Bodhiupa??h?yako	1	16
BODHIVAGGO	1	10
Bodhivaggo	1	10
Bodhivandaka	1	12
Bodhivandakattherassa	1	21
Bodhivandakavaggo	1	17
Bodhivandako	2	12
bodhivedim	1	10
bodhiya	1	7
Bodhiy?	16	7
bodhiy?	90	7
bodhiya?	5	8
bodhiya?gesu	1	12
bodhiyañca	1	10
bodhiyasañña?	1	13
bodhiyassa	1	10
bodhiyo	1	7
